time,ENV.pressure,ENV.temperature,EMIS.NO,PHOT.jNO2,PHOT.jZO2,PHOT.jNO3->NO,PHOT.jZO3->ZO,PHOT.jNO3->NO2,PHOT.jZO3->ZO2,PHOT.jHONO,PHOT.jHOZO,PHOT.jHNO3,PHOT.jHZO3,PHOT.jHNO4,PHOT.jHZO4,PHOT.jONIT,PHOT.jZONIT,PHOT.jO1D,PHOT.jO3P,PHOT.jH2O2,PHOT.jHCHO -> H2,PHOT.jHCHO -> 2 HO2,PHOT.jALD,PHOT.jOP1,PHOT.jOP2,PHOT.jPAA,PHOT.jKET,PHOT.jGLY -> 0.13 HCHO,PHOT.jGLY -> 0.45 HCHO,PHOT.jMGLY,PHOT.jDCB1,PHOT.jMACR,PHOT.jHKET
0,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5400,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10800,101325,298.15,1.00E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12600,101325,298.15,1.00E-14,6.86E-05,6.86E-05,5.50E-05,5.50E-05,7.13E-04,7.13E-04,1.45E-05,1.45E-05,9.30E-10,9.30E-10,5.03E-09,5.03E-09,4.35E-09,4.35E-09,1.15E-08,1.55E-06,2.47E-08,1.86E-07,5.41E-08,4.98E-09,1.89E-08,1.89E-08,6.50E-09,1.34E-09,5.70E-07,8.26E-08,7.35E-07,7.35E-07,7.90E-09,0
14400,101325,298.15,1.00E-14,5.15E-04,5.15E-04,2.40E-03,2.40E-03,1.71E-02,1.71E-02,0.000109835,0.000109835,8.49E-09,8.49E-09,4.84E-08,4.84E-08,4.35E-08,4.35E-08,5.34E-08,4.16E-05,2.25E-07,1.68E-06,5.68E-07,4.32E-08,1.66E-07,1.66E-07,5.92E-08,1.26E-08,4.46E-06,7.93E-07,5.67E-06,5.67E-06,6.78E-08,0
16200,101325,298.15,1.00E-14,1.27E-03,1.27E-03,7.69E-03,7.69E-03,5.56E-02,5.56E-02,0.000265703,0.000265703,2.74E-08,2.74E-08,1.75E-07,1.75E-07,1.43E-07,1.43E-07,1.98E-07,1.26E-04,6.18E-07,4.40E-06,1.81E-06,1.64E-07,4.47E-07,4.47E-07,1.63E-07,4.33E-08,1.24E-05,2.16E-06,1.48E-05,1.48E-05,1.74E-07,0
18000,101325,298.15,1.00E-14,2.25E-03,2.25E-03,1.18E-02,1.18E-02,8.85E-02,8.85E-02,0.000466503,0.000466503,5.95E-08,5.95E-08,3.97E-07,3.97E-07,3.07E-07,3.07E-07,6.68E-07,1.96E-04,1.17E-06,8.01E-06,3.72E-06,3.96E-07,8.39E-07,8.39E-07,3.09E-07,9.63E-08,2.15E-05,4.06E-06,2.65E-05,2.65E-05,3.14E-07,0
19800,101325,298.15,1.00E-14,3.18E-03,3.18E-03,1.46E-02,1.46E-02,1.12E-01,1.12E-01,0.000664505,0.000664505,1.01E-07,1.01E-07,6.87E-07,6.87E-07,5.12E-07,5.12E-07,1.61E-06,2.45E-04,1.80E-06,1.19E-05,5.99E-06,7.16E-07,1.28E-06,1.28E-06,4.74E-07,1.65E-07,2.90E-05,6.18E-06,3.77E-05,3.77E-05,4.64E-07,0
21600,101325,298.15,1.00E-14,4.04E-03,4.04E-03,1.67E-02,1.67E-02,1.29E-01,1.29E-01,0.000851488,0.000851488,1.51E-07,1.51E-07,1.03E-06,1.03E-06,7.53E-07,7.53E-07,3.12E-06,2.84E-04,2.47E-06,1.59E-05,8.51E-06,1.12E-06,1.74E-06,1.74E-06,6.52E-07,2.47E-07,3.52E-05,8.44E-06,4.83E-05,4.83E-05,6.16E-07,0
23400,101325,298.15,1.00E-14,4.74E-03,4.74E-03,1.83E-02,1.83E-02,1.42E-01,1.42E-01,0.00100713,0.00100713,2.02E-07,2.02E-07,1.39E-06,1.39E-06,9.92E-07,9.92E-07,4.99E-06,3.13E-04,3.10E-06,1.94E-05,1.09E-05,1.53E-06,2.16E-06,2.16E-06,8.17E-07,3.30E-07,4.00E-05,1.05E-05,5.72E-05,5.72E-05,7.50E-07,0
25200,101325,298.15,1.00E-14,5.29E-03,5.29E-03,1.94E-02,1.94E-02,1.52E-01,1.52E-01,0.001129515,0.001129515,2.49E-07,2.49E-07,1.71E-06,1.71E-06,1.21E-06,1.21E-06,6.95E-06,3.36E-04,3.63E-06,2.23E-05,1.30E-05,1.92E-06,2.52E-06,2.52E-06,9.58E-07,4.04E-07,4.35E-05,1.23E-05,6.42E-05,6.42E-05,8.61E-07,0
27000,101325,298.15,1.00E-14,5.69E-03,5.69E-03,2.02E-02,2.02E-02,1.58E-01,1.58E-01,0.00121946,0.00121946,2.87E-07,2.87E-07,1.97E-06,1.97E-06,1.38E-06,1.38E-06,8.72E-06,3.52E-04,4.04E-06,2.45E-05,1.46E-05,2.23E-06,2.80E-06,2.80E-06,1.07E-06,4.65E-07,4.60E-05,1.36E-05,6.95E-05,6.95E-05,9.44E-07,0
28800,101325,298.15,1.00E-14,5.95E-03,5.95E-03,2.06E-02,2.06E-02,1.63E-01,1.63E-01,0.001278283,0.001278283,3.14E-07,3.14E-07,2.15E-06,2.15E-06,1.50E-06,1.50E-06,1.00E-05,3.62E-04,4.32E-06,2.60E-05,1.57E-05,2.46E-06,2.99E-06,2.99E-06,1.14E-06,5.08E-07,4.76E-05,1.45E-05,7.30E-05,7.30E-05,1.00E-06,0
30600,101325,298.15,1.00E-14,6.08E-03,6.08E-03,2.09E-02,2.09E-02,1.65E-01,1.65E-01,0.001307068,0.001307068,3.28E-07,3.28E-07,2.24E-06,2.24E-06,1.56E-06,1.56E-06,1.07E-05,3.67E-04,4.46E-06,2.67E-05,1.63E-05,2.57E-06,3.08E-06,3.08E-06,1.18E-06,5.30E-07,4.84E-05,1.50E-05,7.47E-05,7.47E-05,1.03E-06,0
32400,101325,298.15,1.00E-14,6.07E-03,6.07E-03,2.09E-02,2.09E-02,1.65E-01,1.65E-01,0.001306427,0.001306427,3.28E-07,3.28E-07,2.24E-06,2.24E-06,1.56E-06,1.56E-06,1.07E-05,3.67E-04,4.46E-06,2.67E-05,1.63E-05,2.57E-06,3.08E-06,3.08E-06,1.18E-06,5.29E-07,4.84E-05,1.50E-05,7.46E-05,7.46E-05,1.03E-06,0
34200,101325,298.15,1.00E-14,5.94E-03,5.94E-03,2.06E-02,2.06E-02,1.62E-01,1.62E-01,0.001276332,0.001276332,3.13E-07,3.13E-07,2.15E-06,2.15E-06,1.50E-06,1.50E-06,9.99E-06,3.62E-04,4.31E-06,2.59E-05,1.57E-05,2.45E-06,2.98E-06,2.98E-06,1.14E-06,5.07E-07,4.76E-05,1.45E-05,7.29E-05,7.29E-05,9.98E-07,0
36000,101325,298.15,1.00E-14,5.67E-03,5.67E-03,2.01E-02,2.01E-02,1.58E-01,1.58E-01,0.001216165,0.001216165,2.86E-07,2.86E-07,1.96E-06,1.96E-06,1.37E-06,1.37E-06,8.65E-06,3.51E-04,4.02E-06,2.44E-05,1.46E-05,2.22E-06,2.79E-06,2.79E-06,1.06E-06,4.63E-07,4.59E-05,1.36E-05,6.93E-05,6.93E-05,9.41E-07,0
