time,ENV.pressure,ENV.temperature,PHOT.jNO2,PHOT.jO1D,PHOT.jO3P,PHOT.jHONO,PHOT.jHNO3,PHOT.jHNO4,PHOT.jNO3 -> NO,PHOT.jNO3 -> NO2,PHOT.jH2O2,PHOT.jHCHO -> H2,PHOT.jHCHO -> 2 HO2,PHOT.jALD,PHOT.jOP1,PHOT.jOP2,PHOT.jPAA,PHOT.jKET,PHOT.jGLY -> 0.13 HCHO,PHOT.jGLY -> 0.45 HCHO,PHOT.jMGLY,PHOT.jDCB1,PHOT.jONIT,PHOT.jMACR,PHOT.jHKET
0.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,1688.75,4.969166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0,1688.75,4.969166666666666,6.413266666666667e-06,2.848366666666667e-09,1.1482316666666667e-07,1.3623683333333334e-06,1.5905816666666669e-10,9.8373e-10,3.997133333333334e-06,5.558483333333334e-05,3.0659333333333337e-09,2.1958499999999998e-08,8.936783333333334e-09,1.0621033333333332e-09,2.232683333333333e-09,2.232683333333333e-09,8.07275e-10,2.4183666666666667e-10,5.382783333333334e-08,1.0717683333333334e-08,7.417566666666667e-08,7.417566666666667e-08,7.58835e-10,8.571766666666666e-10,0.0
360.0,1688.75,4.969166666666666,0.00036456166666666665,5.889133333333333e-08,2.3562333333333333e-05,7.776783333333333e-05,6.165533333333333e-09,3.3437000000000004e-08,0.0012948666666666665,0.009672133333333333,1.5578216666666668e-07,1.2045866666666666e-06,3.8344e-07,3.2207833333333335e-08,1.1551666666666667e-07,1.1551666666666667e-07,4.094e-08,8.772066666666667e-09,3.2087166666666666e-06,5.614366666666668e-07,4.122116666666667e-06,4.122116666666667e-06,2.982833333333333e-08,4.719233333333334e-08,0.0
390.0,1688.75,4.969166666666666,0.00129908,2.9042333333333335e-07,0.00013027883333333333,0.00027081999999999996,3.120266666666667e-08,1.9611166666666666e-07,0.007943866666666667,0.05725716666666667,6.49415e-07,4.704133333333334e-06,1.9594e-06,1.9573166666666665e-07,4.676933333333333e-07,4.676933333333333e-07,1.7087e-07,4.807816666666667e-08,1.3188366666666667e-05,2.3318833333333334e-06,1.569765e-05,1.569765e-05,1.5697133333333333e-07,1.79435e-07,0.0
420.0,1688.75,4.969166666666666,0.0025988333333333336,1.3060366666666667e-06,0.00021751833333333333,0.0005405883333333333,8.214999999999999e-08,5.390916666666666e-07,0.01309285,0.09851983333333333,1.4402016666666667e-06,9.851499999999999e-06,4.7536e-06,5.807666666666666e-07,1.0221716666666667e-06,1.0221716666666667e-06,3.7951499999999997e-07,1.2960416666666667e-07,2.5505e-05,5.09705e-06,3.201766666666667e-05,3.201766666666667e-05,4.0395999999999997e-07,3.73815e-07,0.0
450.0,1688.75,4.969166666666666,0.003971983333333333,3.9570500000000005e-06,0.0002837316666666667,0.0008373366666666667,1.64086e-07,1.0898366666666665e-06,0.016691666666666667,0.12864933333333334,2.4956e-06,1.6222583333333333e-05,8.707083333333333e-06,1.2408283333333333e-06,1.7485666666666667e-06,1.7485666666666667e-06,6.586133333333333e-07,2.5951333333333335e-07,3.63185e-05,8.728783333333333e-06,4.95035e-05,4.95035e-05,7.840766666666667e-07,6.1208e-07,0.0
480.0,1688.75,4.969166666666666,0.005169900000000001,8.429683333333333e-06,0.00033421666666666667,0.0011030500000000002,2.6618333333333334e-07,1.7695666666666668e-06,0.019229833333333335,0.1502265,3.6222333333333332e-06,2.25615e-05,1.310685e-05,2.0894166666666666e-06,2.5122833333333334e-06,2.5122833333333334e-06,9.571666666666667e-07,4.185166666666667e-07,4.4696e-05,1.2541433333333333e-05,6.535116666666667e-05,6.535116666666667e-05,1.2397016666666667e-06,8.471499999999999e-07,0.0
510.0,1688.75,4.969166666666666,0.0061656666666666665,1.4366366666666667e-05,0.0003743416666666667,0.0013270583333333333,3.774666666666667e-07,2.5016333333333337e-06,0.021129500000000002,0.16643266666666667,4.7107e-06,2.8330833333333333e-05,1.7467166666666664e-05,3.02615e-06,3.2422e-06,3.2422e-06,1.2461066666666667e-06,5.882716666666667e-07,5.118266666666667e-05,1.6165133333333332e-05,7.910633333333333e-05,7.910633333333333e-05,1.7204666666666667e-06,1.0599866666666667e-06,0.0
540.0,1688.75,4.969166666666666,0.006974800000000001,2.1132499999999998e-05,0.00040668333333333334,0.00151045,4.88365e-07,3.222916666666667e-06,0.022597,0.17893833333333334,5.69905e-06,3.3320333333333334e-05,2.148483333333333e-05,3.962483333333333e-06,3.8999666666666665e-06,3.8999666666666665e-06,1.508845e-06,7.540600000000001e-07,5.6231666666666666e-05,1.9407333333333336e-05,9.07375e-05,9.07375e-05,2.187133333333333e-06,1.24345e-06,0.0
570.0,1688.75,4.969166666666666,0.007619150000000001,2.8037e-05,0.0004326033333333333,0.0016570683333333334,5.913566666666667e-07,3.886383333333333e-06,0.023740166666666666,0.18865333333333334,6.553733333333334e-06,3.74695e-05,2.4987499999999998e-05,4.83065e-06,4.465683333333334e-06,4.465683333333334e-06,1.7363e-06,9.052716666666667e-07,6.014816666666667e-05,2.217566666666667e-05,0.00010031783333333332,0.00010031783333333332,2.6116166666666664e-06,1.3956966666666666e-06,0.0
600.0,1688.75,4.969166666666666,0.008117466666666667,3.444133333333333e-05,0.000452865,0.0017706666666666667,6.8068e-07,4.457416666666667e-06,0.0246175,0.19608166666666668,7.255933333333334e-06,4.0776166666666664e-05,2.7877166666666668e-05,5.5809499999999995e-06,4.928666666666667e-06,4.928666666666667e-06,1.92335e-06,1.0344283333333335e-06,6.3129e-05,2.4426666666666668e-05,0.0001079295,0.0001079295,2.9738666666666666e-06,1.5168549999999999e-06,0.0
630.0,1688.75,4.969166666666666,0.008483716666666667,3.980533333333334e-05,0.0004679216666666667,0.0018542500000000002,7.520516666666667e-07,4.911066666666666e-06,0.025261333333333334,0.20152,7.795133333333333e-06,4.325783333333333e-05,3.0100333333333334e-05,6.178116666666667e-06,5.2832e-06,5.2832e-06,2.0670833333333334e-06,1.1363833333333333e-06,6.529883333333334e-05,2.6141166666666666e-05,0.00011364066666666667,0.00011364066666666667,3.2598500000000002e-06,1.6076866666666666e-06,0.0
660.0,1688.75,4.969166666666666,0.0087276,4.3711e-05,0.0004780333333333333,0.0019099166666666668,8.023866666666667e-07,5.2297333333333335e-06,0.025691000000000002,0.20513499999999998,8.165016666666667e-06,4.4932666666666664e-05,3.1626666666666667e-05,6.597883333333333e-06,5.525933333333333e-06,5.525933333333333e-06,2.1657333333333333e-06,1.2076583333333333e-06,6.673566666666666e-05,2.7310333333333332e-05,0.0001174995,0.0001174995,3.45985e-06,1.66895e-06,0.0
690.0,1688.75,4.969166666666666,0.008855283333333333,4.5864e-05,0.00048337,0.0019390666666666667,8.296316666666668e-07,5.401816666666666e-06,0.025916500000000002,0.20703833333333332,8.361983333333332e-06,4.5815999999999996e-05,3.243966666666667e-05,6.8245666666666664e-06,5.655066666666667e-06,5.655066666666667e-06,2.2182833333333333e-06,1.2460283333333335e-06,6.748566666666666e-05,2.7930666666666667e-05,0.000119537,0.000119537,3.56755e-06,1.7012666666666667e-06,0.0
720.0,1688.75,4.969166666666666,0.008869833333333334,4.611433333333333e-05,0.0004839716666666667,0.0019424,8.327783333333333e-07,5.42165e-06,0.025941666666666665,0.20725000000000002,8.384633333333333e-06,4.59175e-05,3.253316666666667e-05,6.850716666666666e-06,5.6699e-06,5.6699e-06,2.2243166666666667e-06,1.2504483333333333e-06,6.7571e-05,2.8002e-05,0.00011977,0.00011977,3.5799833333333333e-06,1.7049666666666668e-06,0.0
750.0,1688.75,4.969166666666666,0.00877155,4.444233333333333e-05,0.00047987,0.00191995,8.116816666666667e-07,5.28845e-06,0.025768666666666665,0.205795,8.23245e-06,4.52355e-05,3.1904666666666666e-05,6.675266666666667e-06,5.570166666666666e-06,5.570166666666666e-06,2.1837166666666666e-06,1.2207650000000001e-06,6.699399999999999e-05,2.7523e-05,0.000118199,0.000118199,3.4966333333333335e-06,1.6800500000000001e-06,0.0
780.0,1688.75,4.969166666666666,0.008558183333333334,4.09685e-05,0.00047100833333333335,0.00187125,7.671716666666667e-07,5.006883333333334e-06,0.025392833333333333,0.20262666666666668,7.907066666666666e-06,4.376666666666666e-05,3.0562166666666663e-05,6.30435e-06,5.356683333333334e-06,5.356683333333334e-06,2.096933333333333e-06,1.1578466666666666e-06,6.573816666666666e-05,2.6495499999999997e-05,0.00011481366666666667,0.00011481366666666667,3.320066666666667e-06,1.626315e-06,0.0
810.0,1688.75,4.969166666666666,0.0082244,3.59475e-05,0.00045724833333333337,0.0017950666666666666,7.010083333333334e-07,4.58685e-06,0.024806166666666667,0.19767333333333334,7.4113666666666665e-06,4.1496666666666665e-05,2.8517833333333333e-05,5.75125e-06,5.03095e-06,5.03095e-06,1.9647833333333335e-06,1.0635766666666665e-06,6.376416666666667e-05,2.4922166666666667e-05,0.00010958683333333333,0.00010958683333333333,3.0556333333333334e-06,1.54323e-06,0.0
840.0,1688.75,4.969166666666666,0.007761483333333334,2.9766166666666666e-05,0.00043836499999999997,0.0016895,6.159816666666667e-07,4.0441833333333335e-06,0.023991333333333333,0.19077666666666668,6.750633333333333e-06,3.840583333333334e-05,2.5797e-05,5.037783333333334e-06,4.5956666666666665e-06,4.5956666666666665e-06,1.78875e-06,9.410566666666666e-07,6.100333333333334e-05,2.2808999999999998e-05,0.00010247366666666666,0.00010247366666666666,2.7119999999999996e-06,1.4300133333333334e-06,0.0
870.0,1688.75,4.969166666666666,0.0071566166666666665,2.2932666666666668e-05,0.00041397166666666665,0.0015517833333333333,5.160366666666666e-07,3.40175e-06,0.022921166666666666,0.181695,5.934083333333333e-06,3.4476e-05,2.2446e-05,4.1959833333333334e-06,4.0558e-06,4.0558e-06,1.5713700000000001e-06,7.949416666666667e-07,5.734516666666667e-05,2.0171833333333332e-05,9.341116666666666e-05,9.341116666666666e-05,2.3019833333333334e-06,1.2858783333333334e-06,0.0
